CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/18/2022,19:20,,,0,0,"(0.0, 0.0)",31 STREET,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4522353,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
04/18/2022,13:00,,,40.881794,-73.90092,"(40.881794, -73.90092)",MAJOR DEEGAN EXPRESSWAY,,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,Unspecified,,,4522223,Sedan,Sedan,Sedan,,
04/18/2022,22:35,BRONX,10463,40.888336,-73.91349,"(40.888336, -73.91349)",,,660       WEST 237 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4522401,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,16:00,,,40.843643,-73.90676,"(40.843643, -73.90676)",MONROE AVENUE,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4522441,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,16:30,,,40.61074,-74.09583,"(40.61074, -74.09583)",STATEN ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4522596,Motorcycle,Sedan,,,
04/18/2022,5:00,,,,,,BRONX WHITESTONE BRIDGE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4520337,Tractor Truck Gasoline,Tractor Truck Gasoline,,,
04/18/2022,20:44,,,,,,BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4520748,Sedan,,,,
04/18/2022,15:50,,,40.73975,-74.00253,"(40.73975, -74.00253)",WEST 14 STREET,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4522484,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,15:04,MANHATTAN,10022,40.757072,-73.96986,"(40.757072, -73.96986)",3 AVENUE,EAST 52 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4520162,Station Wagon/Sport Utility Vehicle,Bike,,,
04/18/2022,5:55,QUEENS,11385,40.696796,-73.89678,"(40.696796, -73.89678)",SAINT FELIX AVENUE,60 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4520417,Sedan,Station Wagon/Sport Utility Vehicle,,,
